ccaa,provincia,anio,precio_compra_m2,precio_alquiler_m2,renta_neta_anual,renta_mensual_neta
Andalucia,Almería,2020,1082.6667,6.1083,,
Andalucia,Almería,2021,1082.4167,6.3000,,
Andalucia,Almería,2022,1116.5833,6.8000,,
Andalucia,Almería,2023,1174.7500,7.2333,,
Andalucia,Almería,2024,1254.8333,7.7750,,
Andalucia,Almería,2025,1357.1000,8.3600,,
Andalucia,Cádiz,2020,1515.7500,7.6833,,
Andalucia,Cádiz,2021,1543.0833,7.7417,,
Andalucia,Cádiz,2022,1593.8333,8.3417,,
Andalucia,Cádiz,2023,1746.4167,8.9667,,
Andalucia,Cádiz,2024,1876.0000,9.5500,,
Andalucia,Cádiz,2025,2069.3000,10.2100,,
Andalucia,Córdoba,2020,1205.5000,6.7583,,
Andalucia,Córdoba,2021,1188.3333,6.9750,,
Andalucia,Córdoba,2022,1177.5000,7.0083,,
Andalucia,Córdoba,2023,1216.5000,7.2250,,
Andalucia,Córdoba,2024,1223.6667,7.7083,,
Andalucia,Córdoba,2025,1228.7000,8.3800,,
Andalucia,Granada,2020,1193.6667,7.4083,,
Andalucia,Granada,2021,1250.9167,7.6667,,
Andalucia,Granada,2022,1304.3333,7.8167,,
Andalucia,Granada,2023,1350.8333,8.5167,,
Andalucia,Granada,2024,1446.6667,9.0750,,
Andalucia,Granada,2025,1574.5000,9.7200,,
Andalucia,Huelva,2020,1241.9167,6.8167,,
Andalucia,Huelva,2021,1251.5000,6.9750,,
Andalucia,Huelva,2022,1276.0000,7.8667,,
Andalucia,Huelva,2023,1359.6667,8.3250,,
Andalucia,Huelva,2024,1442.5000,8.5167,,
Andalucia,Huelva,2025,1545.7000,9.1600,,
Andalucia,Jaén,2020,853.2500,4.7833,,
Andalucia,Jaén,2021,838.3333,4.8750,,
Andalucia,Jaén,2022,823.5833,5.0917,,
Andalucia,Jaén,2023,820.4167,5.6167,,
Andalucia,Jaén,2024,840.1667,5.8667,,
Andalucia,Jaén,2025,830.6000,6.3300,,
Andalucia,Málaga,2020,2233.3333,9.6833,,
Andalucia,Málaga,2021,2365.1667,9.5667,,
Andalucia,Málaga,2022,2627.1667,11.1250,,
Andalucia,Málaga,2023,2951.1667,13.1833,,
Andalucia,Málaga,2024,3296.0000,14.7250,,
Andalucia,Málaga,2025,3750.8000,16.1800,,
Andalucia,Sevilla,2020,1408.1667,9.2083,,
Andalucia,Sevilla,2021,1395.1667,9.1000,,
Andalucia,Sevilla,2022,1426.7500,9.2000,,
Andalucia,Sevilla,2023,1515.3333,9.7583,,
Andalucia,Sevilla,2024,1587.9167,10.4000,,
Andalucia,Sevilla,2025,1683.8000,11.3400,,
Aragon,Huesca,2020,1412.6667,7.4417,,
Aragon,Huesca,2021,1380.2500,7.8083,,
Aragon,Huesca,2022,1382.5833,7.6750,,
Aragon,Huesca,2023,1428.4167,8.0583,,
Aragon,Huesca,2024,1550.3333,8.9083,,
Aragon,Huesca,2025,1601.6000,9.4900,,
Aragon,Teruel,2020,893.1667,5.0750,,
Aragon,Teruel,2021,893.0833,5.4167,,
Aragon,Teruel,2022,884.5833,5.7917,,
Aragon,Teruel,2023,897.1667,6.2250,,
Aragon,Teruel,2024,935.2500,6.5167,,
Aragon,Teruel,2025,921.6000,7.5100,,
Aragon,Zaragoza,2020,1332.6667,7.9417,,
Aragon,Zaragoza,2021,1336.7500,8.0667,,
Aragon,Zaragoza,2022,1360.7500,8.3333,,
Aragon,Zaragoza,2023,1422.7500,8.6917,,
Aragon,Zaragoza,2024,1478.0833,9.3750,,
Aragon,Zaragoza,2025,1515.7000,10.2700,,
Asturias,Asturias,2020,1340.1667,7.2583,,
Asturias,Asturias,2021,1339.4167,7.4667,,
Asturias,Asturias,2022,1340.0833,7.7083,,
Asturias,Asturias,2023,1357.5833,8.1417,,
Asturias,Asturias,2024,1409.0000,8.9417,,
Asturias,Asturias,2025,1552.0000,9.7900,,
Baleares,Baleares,2020,3069.4167,12.2333,,
Baleares,Baleares,2021,3188.7500,11.4917,,
Baleares,Baleares,2022,3465.4167,12.8583,,
Baleares,Baleares,2023,3908.6667,15.5833,,
Baleares,Baleares,2024,4423.1667,17.8583,,
Baleares,Baleares,2025,4935.0000,19.0900,,
Canarias,Las Palmas,2020,1922.2500,10.4167,,
Canarias,Las Palmas,2021,1939.4167,10.4083,,
Canarias,Las Palmas,2022,1999.5000,11.5083,,
Canarias,Las Palmas,2023,2176.9167,12.8417,,
Canarias,Las Palmas,2024,2473.0000,14.0500,,
Canarias,Las Palmas,2025,2753.6000,14.9100,,
Canarias,Tenerife,2020,1807.0000,9.2417,,
Canarias,Tenerife,2021,1881.9167,9.1083,,
Canarias,Tenerife,2022,2046.6667,9.8333,,
Canarias,Tenerife,2023,2342.5000,11.6500,,
Canarias,Tenerife,2024,2771.5000,13.3667,,
Canarias,Tenerife,2025,3209.4000,14.6100,,
Cantabria,Cantabria,2020,1442.5833,7.6833,12865.0000,1072.0833
Cantabria,Cantabria,2021,1452.5833,8.1083,13425.0000,1118.7500
Cantabria,Cantabria,2022,1476.9167,8.7333,14211.0000,1184.2500
Cantabria,Cantabria,2023,1538.5833,9.5500,15043.0000,1253.5833
Cantabria,Cantabria,2024,1657.0000,10.7500,15848.4154,1320.7013
Cantabria,Cantabria,2025,1870.3000,11.4200,16696.9535,1391.4128
CastillaLaMancha,Albacete,2020,1077.1667,5.8667,,
CastillaLaMancha,Albacete,2021,1069.4167,6.0417,,
CastillaLaMancha,Albacete,2022,1063.9167,6.2917,,
CastillaLaMancha,Albacete,2023,1088.3333,6.6417,,
CastillaLaMancha,Albacete,2024,1146.7500,7.1333,,
CastillaLaMancha,Albacete,2025,1165.9000,7.7000,,
CastillaLaMancha,Ciudad Real,2020,787.8333,4.9917,,
CastillaLaMancha,Ciudad Real,2021,763.1667,5.2000,,
CastillaLaMancha,Ciudad Real,2022,758.4167,5.4417,,
CastillaLaMancha,Ciudad Real,2023,750.9167,5.7500,,
CastillaLaMancha,Ciudad Real,2024,748.4167,6.1083,,
CastillaLaMancha,Ciudad Real,2025,741.2000,6.7100,,
CastillaLaMancha,Cuenca,2020,763.2500,4.7583,,
CastillaLaMancha,Cuenca,2021,796.6667,5.0333,,
CastillaLaMancha,Cuenca,2022,791.9167,5.6250,,
CastillaLaMancha,Cuenca,2023,796.5833,5.9833,,
CastillaLaMancha,Cuenca,2024,845.4167,6.8750,,
CastillaLaMancha,Cuenca,2025,843.7000,7.2200,,
CastillaLaMancha,Guadalajara,2020,1036.6667,6.3333,,
CastillaLaMancha,Guadalajara,2021,1061.5833,6.7333,,
CastillaLaMancha,Guadalajara,2022,1124.1667,6.9417,,
CastillaLaMancha,Guadalajara,2023,1195.5000,7.5167,,
CastillaLaMancha,Guadalajara,2024,1272.7500,8.3167,,
CastillaLaMancha,Guadalajara,2025,1361.3000,9.3600,,
CastillaLaMancha,Toledo,2020,774.7500,5.7417,,
CastillaLaMancha,Toledo,2021,797.5833,6.0500,,
CastillaLaMancha,Toledo,2022,841.8333,6.2917,,
CastillaLaMancha,Toledo,2023,847.4167,6.6583,,
CastillaLaMancha,Toledo,2024,894.6667,7.4417,,
CastillaLaMancha,Toledo,2025,969.7000,8.2700,,
CastillaLeon,Burgos,2020,1171.0833,6.7750,,
CastillaLeon,Burgos,2021,1176.4167,7.0083,,
CastillaLeon,Burgos,2022,1172.6667,7.2417,,
CastillaLeon,Burgos,2023,1191.6667,7.5333,,
CastillaLeon,Burgos,2024,1226.6667,8.0750,,
CastillaLeon,Burgos,2025,1212.1000,8.8800,,
CastillaLeon,León,2020,993.3333,5.7583,,
CastillaLeon,León,2021,985.7500,5.8833,,
CastillaLeon,León,2022,988.5000,6.1000,,
CastillaLeon,León,2023,982.1667,6.3917,,
CastillaLeon,León,2024,993.5000,6.8583,,
CastillaLeon,León,2025,1030.9000,7.6000,,
CastillaLeon,Palencia,2020,1145.8333,5.7833,,
CastillaLeon,Palencia,2021,1131.0833,6.0917,,
CastillaLeon,Palencia,2022,1098.6667,6.2333,,
CastillaLeon,Palencia,2023,1097.5000,6.3333,,
CastillaLeon,Palencia,2024,1114.9167,6.8417,,
CastillaLeon,Palencia,2025,1147.4000,7.6000,,
CastillaLeon,Salamanca,2020,1304.1667,7.4083,,
CastillaLeon,Salamanca,2021,1308.5833,7.5083,,
CastillaLeon,Salamanca,2022,1299.4167,7.7417,,
CastillaLeon,Salamanca,2023,1321.8333,8.2583,,
CastillaLeon,Salamanca,2024,1360.9167,8.7417,,
CastillaLeon,Salamanca,2025,1433.0000,9.3200,,
CastillaLeon,Segovia,2020,1084.7500,6.8500,,
CastillaLeon,Segovia,2021,1093.8333,7.1583,,
CastillaLeon,Segovia,2022,1161.5833,7.6250,,
CastillaLeon,Segovia,2023,1224.9167,8.3000,,
CastillaLeon,Segovia,2024,1309.7500,9.7417,,
CastillaLeon,Segovia,2025,1403.8000,11.1300,,
CastillaLeon,Soria,2020,1008.0000,5.6750,,
CastillaLeon,Soria,2021,995.8333,6.0083,,
CastillaLeon,Soria,2022,1016.6667,6.3833,,
CastillaLeon,Soria,2023,1078.0833,6.8750,,
CastillaLeon,Soria,2024,1147.1667,7.5750,,
CastillaLeon,Soria,2025,1152.1000,7.9900,,
CastillaLeon,Valladolid,2020,1251.0000,6.8250,,
CastillaLeon,Valladolid,2021,1269.0833,6.8917,,
CastillaLeon,Valladolid,2022,1322.2500,7.0833,,
CastillaLeon,Valladolid,2023,1346.5000,7.3167,,
CastillaLeon,Valladolid,2024,1417.8333,7.8667,,
CastillaLeon,Valladolid,2025,1439.7000,8.7100,,
CastillaLeon,Zamora,2020,977.2500,4.9083,,
CastillaLeon,Zamora,2021,973.8333,5.0750,,
CastillaLeon,Zamora,2022,953.5833,5.3417,,
CastillaLeon,Zamora,2023,953.0833,5.6167,,
CastillaLeon,Zamora,2024,955.0000,6.1333,,
CastillaLeon,Zamora,2025,975.7000,7.0900,,
CastillaLeon,Ávila,2020,857.0833,5.1583,,
CastillaLeon,Ávila,2021,852.5000,5.3917,,
CastillaLeon,Ávila,2022,842.2500,5.6000,,
CastillaLeon,Ávila,2023,870.6667,5.9667,,
CastillaLeon,Ávila,2024,905.6667,6.7250,,
CastillaLeon,Ávila,2025,975.3000,7.5700,,
Cataluña,Barcelona,2020,2611.3333,14.5250,14676.0000,1223.0000
Cataluña,Barcelona,2021,2648.9167,13.5000,15297.0000,1274.7500
Cataluña,Barcelona,2022,2669.5833,14.4833,16105.0000,1342.0833
Cataluña,Barcelona,2023,2668.6667,16.4417,17062.0000,1421.8333
Cataluña,Barcelona,2024,2713.0000,18.6917,17941.0191,1495.0849
Cataluña,Barcelona,2025,2912.1000,20.3900,18865.3245,1572.1104
Cataluña,Girona,2020,2036.8333,9.0583,12865.0000,1072.0833
Cataluña,Girona,2021,2075.7500,9.6167,13485.0000,1123.7500
Cataluña,Girona,2022,2128.2500,10.6333,14176.0000,1181.3333
Cataluña,Girona,2023,2228.0000,11.6333,1513.0000,126.0833
Cataluña,Girona,2024,2356.6667,12.8917,1112.6423,92.7202
Cataluña,Girona,2025,2510.7000,13.2900,818.2240,68.1853
Cataluña,Lleida,2020,1201.5833,7.1750,12896.0000,1074.6667
Cataluña,Lleida,2021,1240.8333,7.8583,13334.0000,1111.1667
Cataluña,Lleida,2022,1240.6667,8.1167,13865.0000,1155.4167
Cataluña,Lleida,2023,1276.6667,8.5417,14713.0000,1226.0833
Cataluña,Lleida,2024,1360.6667,9.2917,15374.8311,1281.2359
Cataluña,Lleida,2025,1433.2000,9.4900,16066.4331,1338.8694
Cataluña,Tarragona,2020,1337.1667,7.3750,12491.0000,1040.9167
Cataluña,Tarragona,2021,1361.7500,7.5417,13086.0000,1090.5000
Cataluña,Tarragona,2022,1411.9167,7.9500,13673.0000,1139.4167
Cataluña,Tarragona,2023,1484.2500,8.6333,14559.0000,1213.2500
Cataluña,Tarragona,2024,1577.7500,9.2083,15322.3315,1276.8610
Cataluña,Tarragona,2025,1667.6000,9.7000,16125.6845,1343.8070
Ceuta,Ceuta,2020,2157.1667,,12358.0000,1029.8333
Ceuta,Ceuta,2021,2084.0000,,1303.0000,108.5833
Ceuta,Ceuta,2022,1896.5000,,13673.0000,1139.4167
Ceuta,Ceuta,2023,2160.5833,11.9857,14625.0000,1218.7500
Ceuta,Ceuta,2024,2270.9167,12.0000,56884.1356,4740.3446
Ceuta,Ceuta,2025,2351.0000,13.2556,221251.6159,18437.6347
ComunidadDeMadrid,Madrid,2020,2724.1667,14.4083,,
ComunidadDeMadrid,Madrid,2021,2857.1667,13.5167,,
ComunidadDeMadrid,Madrid,2022,3010.4167,14.1083,,
ComunidadDeMadrid,Madrid,2023,3133.0000,15.4667,,
ComunidadDeMadrid,Madrid,2024,3485.9167,17.8833,,
ComunidadDeMadrid,Madrid,2025,4196.5000,19.9800,,
ComunidadValenciana,Alicante,2020,1590.4167,7.1333,,
ComunidadValenciana,Alicante,2021,1652.8333,7.1250,,
ComunidadValenciana,Alicante,2022,1778.8333,8.0167,,
ComunidadValenciana,Alicante,2023,1980.8333,9.3500,,
ComunidadValenciana,Alicante,2024,2217.6667,10.5083,,
ComunidadValenciana,Alicante,2025,2518.2000,11.4600,,
ComunidadValenciana,Castellón,2020,1091.0833,6.0167,,
ComunidadValenciana,Castellón,2021,1098.0000,6.1750,,
ComunidadValenciana,Castellón,2022,1126.5833,6.8083,,
ComunidadValenciana,Castellón,2023,1182.7500,7.1917,,
ComunidadValenciana,Castellón,2024,1266.7500,7.9000,,
ComunidadValenciana,Castellón,2025,1390.8000,8.5300,,
ComunidadValenciana,Valencia,2020,1211.0000,8.1250,,
ComunidadValenciana,Valencia,2021,1233.7500,8.0583,,
ComunidadValenciana,Valencia,2022,1250.2500,8.7917,,
ComunidadValenciana,Valencia,2023,1350.8333,10.2167,,
ComunidadValenciana,Valencia,2024,1489.9167,11.9167,,
ComunidadValenciana,Valencia,2025,1725.9000,13.2300,,
Euskadi,Gipúzcoa,2020,3040.8333,13.4917,,
Euskadi,Gipúzcoa,2021,3174.3333,13.6500,,
Euskadi,Gipúzcoa,2022,3267.3333,13.8000,,
Euskadi,Gipúzcoa,2023,3438.3333,14.6000,,
Euskadi,Gipúzcoa,2024,3605.9167,15.9750,,
Euskadi,Gipúzcoa,2025,3902.0000,16.4800,,
Euskadi,Vizcaya,2020,2561.6667,11.5750,,
Euskadi,Vizcaya,2021,2600.3333,11.7083,,
Euskadi,Vizcaya,2022,2660.0833,11.9417,,
Euskadi,Vizcaya,2023,2732.1667,12.5250,,
Euskadi,Vizcaya,2024,2831.3333,13.4583,,
Euskadi,Vizcaya,2025,3066.9000,14.4000,,
Euskadi,Álava,2020,2031.5000,9.3750,,
Euskadi,Álava,2021,2132.8333,9.6500,,
Euskadi,Álava,2022,2198.2500,10.1500,,
Euskadi,Álava,2023,2262.0000,10.7500,,
Euskadi,Álava,2024,2314.9167,11.2917,,
Euskadi,Álava,2025,2368.2000,11.8800,,
Extremadura,Badajoz,2020,908.7500,5.2583,10001.0000,833.4167
Extremadura,Badajoz,2021,934.9167,5.5000,10549.0000,879.0833
Extremadura,Badajoz,2022,952.9167,5.7250,11158.0000,929.8333
Extremadura,Badajoz,2023,971.4167,6.2083,12068.0000,1005.6667
Extremadura,Badajoz,2024,982.4167,6.6417,12848.7230,1070.7269
Extremadura,Badajoz,2025,960.6000,7.0800,13679.9537,1139.9961
Extremadura,Cáceres,2020,892.2500,4.9250,1066.0000,88.8333
Extremadura,Cáceres,2021,924.3333,5.2083,11238.0000,936.5000
Extremadura,Cáceres,2022,916.1667,5.5000,11786.0000,982.1667
Extremadura,Cáceres,2023,923.8333,5.7500,12771.0000,1064.2500
Extremadura,Cáceres,2024,982.3333,6.9917,53955.5625,4496.2969
Extremadura,Cáceres,2025,999.6000,7.1100,227954.1715,18996.1810
Galicia,A Coruña,2020,1304.6667,6.6917,,
Galicia,A Coruña,2021,1284.8333,6.8833,,
Galicia,A Coruña,2022,1269.4167,7.2083,,
Galicia,A Coruña,2023,1313.0833,7.7750,,
Galicia,A Coruña,2024,1387.8333,8.5333,,
Galicia,A Coruña,2025,1456.5000,9.2700,,
Galicia,Lugo,2020,1009.2500,5.1583,12021.0000,1001.7500
Galicia,Lugo,2021,994.0833,5.3833,1256.0000,104.6667
Galicia,Lugo,2022,979.0000,5.6667,13362.0000,1113.5000
Galicia,Lugo,2023,1004.2500,6.0167,14316.0000,1193.0000
Galicia,Lugo,2024,1030.9167,6.7167,56378.3900,4698.1992
Galicia,Lugo,2025,1073.6000,7.3900,222025.9056,18502.1588
Galicia,Ourense,2020,1140.5000,5.6417,11937.0000,994.7500
Galicia,Ourense,2021,1143.1667,5.7500,12365.0000,1030.4167
Galicia,Ourense,2022,1149.4167,5.7833,13043.0000,1086.9167
Galicia,Ourense,2023,1149.9167,6.2917,14049.0000,1170.7500
Galicia,Ourense,2024,1120.1667,6.8583,14834.8851,1236.2404
Galicia,Ourense,2025,1059.9000,7.3800,15664.7317,1305.3943
Galicia,Pontevedra,2020,1487.2500,7.7167,11881.0000,990.0833
Galicia,Pontevedra,2021,1541.9167,8.2917,12425.0000,1035.4167
Galicia,Pontevedra,2022,1572.1667,8.4583,1317.0000,109.7500
Galicia,Pontevedra,2023,1603.3333,8.9583,14137.0000,1178.0833
Galicia,Pontevedra,2024,1661.5833,9.8083,56010.9253,4667.5771
Galicia,Pontevedra,2025,1725.7000,10.3100,221915.8062,18492.9839
La Rioja,La Rioja,2020,1215.0833,6.5750,,
La Rioja,La Rioja,2021,1238.2500,6.8333,,
La Rioja,La Rioja,2022,1263.5000,7.1667,,
La Rioja,La Rioja,2023,1283.6667,7.4750,,
La Rioja,La Rioja,2024,1337.1667,8.0250,,
La Rioja,La Rioja,2025,1370.7000,8.8700,,
Melilla,Melilla,2020,1760.9167,8.5000,11665.0000,972.0833
Melilla,Melilla,2021,1815.4167,8.9250,12506.0000,1042.1667
Melilla,Melilla,2022,1888.0000,9.1000,1314.0000,109.5000
Melilla,Melilla,2023,1901.3333,9.4667,13995.0000,1166.2500
Melilla,Melilla,2024,1944.6667,9.9250,55176.9226,4598.0769
Melilla,Melilla,2025,2040.5000,10.1700,217541.4642,18128.4554
Murcia,Murcia,2020,1049.6667,6.3750,,
Murcia,Murcia,2021,1056.4167,6.6250,,
Murcia,Murcia,2022,1079.7500,7.0417,,
Murcia,Murcia,2023,1150.9167,7.5000,,
Murcia,Murcia,2024,1272.1667,8.1250,,
Murcia,Murcia,2025,1466.9000,8.7500,,
Navarra,Navarra,2020,1424.4167,8.4750,,
Navarra,Navarra,2021,1448.6667,8.8667,,
Navarra,Navarra,2022,1521.6667,9.2250,,
Navarra,Navarra,2023,1637.6667,9.5917,,
Navarra,Navarra,2024,1729.7500,10.1167,,
Navarra,Navarra,2025,1751.2000,10.5700,,
